Time,LABORATORIO_ZONE::Des Heat Load [W],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LABORATORIO_ZONE::Des Heat Mass Flow [kg/s],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LABORATORIO_ZONE::Des Latent Heat Load [W],LABORATORIO_ZONE::Des Latent Cool Load [W],LABORATORIO_ZONE::Des Latent Heat Mass Flow [kg/s],LABORATORIO_ZONE::Des Latent Cool Mass Flow [kg/s],LABORATORIO_ZONE::Des Heat Load No DOAS [W],LABORATORIO_ZONE::Des Sens Cool Load No DOAS [W],LABORATORIO_ZONE::Des Latent Heat Load No DOAS [W],LABORATORIO_ZONE::Des Latent Cool Load No DOAS [W],LABORATORIO_ZONE::Heating Zone Temperature [C],LABORATORIO_ZONE::Heating Zone Relative Humidity [%],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
05:00:00,0.000000E+00,1.733749E+03,0.000000E+00,1.544778E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398632E+01,7.734201E+01
05:10:00,0.000000E+00,1.717562E+03,0.000000E+00,1.530356E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398632E+01,7.754504E+01
05:20:00,0.000000E+00,1.702296E+03,0.000000E+00,1.516753E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398630E+01,7.773816E+01
05:30:00,0.000000E+00,1.688417E+03,0.000000E+00,1.504387E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398629E+01,7.791880E+01
05:40:00,0.000000E+00,1.676290E+03,0.000000E+00,1.493583E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398626E+01,7.808162E+01
05:50:00,0.000000E+00,1.666124E+03,0.000000E+00,1.484528E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398622E+01,7.822137E+01
06:00:00,0.000000E+00,1.658186E+03,0.000000E+00,1.477457E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398618E+01,7.833650E+01
06:10:00,0.000000E+00,1.652723E+03,0.000000E+00,1.472593E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398615E+01,7.842687E+01
06:20:00,0.000000E+00,1.649932E+03,0.000000E+00,1.470112E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398608E+01,7.848485E+01
06:30:00,0.000000E+00,1.649802E+03,0.000000E+00,1.470002E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398602E+01,7.850873E+01
